,date,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt
0,2020-04-24,2650,1932,12270,19237
1,2020-04-25,2543,1852,12290,19100
2,2020-04-26,2529,1834,12694,18617
3,2020-04-27,2471,1773,12537,18803
4,2020-04-28,2394,1707,12207,19345
5,2020-04-29,2313,1655,12144,19613
6,2020-04-30,2241,1564,12194,19570
7,2020-05-01,2124,1532,12295,19642
8,2020-05-02,2052,1476,12911,19007
9,2020-05-03,2018,1442,12774,19130
10,2020-05-04,1980,1389,12717,19053
11,2020-05-05,1906,1325,12141,19670
12,2020-05-06,1825,1252,11843,20068
13,2020-05-07,1769,1204,11806,20039
14,2020-05-08,1662,1134,11654,20010
15,2020-05-09,1596,1095,11883,19789
16,2020-05-10,1605,1084,12302,19231
17,2020-05-11,1590,1061,12124,19391
18,2020-05-12,1499,1003,11922,20276
19,2020-05-13,1386,945,11575,20210
20,2020-05-14,1318,873,11746,20119
21,2020-05-15,1235,820,11419,20456
22,2020-05-16,1176,800,11609,20096
23,2020-05-17,1128,768,12175,19563
24,2020-05-18,1126,736,12138,19532
25,2020-05-19,1088,699,11388,20128
26,2020-05-20,1021,654,11320,20386
27,2020-05-21,1000,628,11353,20382
28,2020-05-22,975,607,11905,19825
29,2020-05-23,931,589,11894,20016
30,2020-05-24,900,572,12241,19527
31,2020-05-25,885,564,12290,19613
32,2020-05-26,816,520,11639,20164
33,2020-05-27,751,473,11269,20454
34,2020-05-28,726,443,11143,20537
35,2020-05-29,725,421,11152,20466
36,2020-05-30,716,421,11283,20353
37,2020-05-31,699,404,11875,19689
38,2020-06-01,698,392,11956,19617
39,2020-06-02,694,382,11854,19694
40,2020-06-03,635,361,11186,20416
41,2020-06-04,600,340,10838,20732
42,2020-06-05,588,338,10746,20797
43,2020-06-06,562,334,10992,20537
44,2020-06-07,567,330,11551,19947
45,2020-06-08,546,318,11690,19809
46,2020-06-09,522,316,10941,20658
47,2020-06-10,488,287,10819,20823
48,2020-06-11,453,277,10863,20753
49,2020-06-12,453,274,11298,20260
50,2020-06-13,442,260,11281,20204
51,2020-06-14,438,262,11650,19807
52,2020-06-15,434,259,11689,19874
53,2020-06-16,422,256,11012,20589
54,2020-06-17,409,250,10715,20903
55,2020-06-18,398,239,10681,21038
56,2020-06-19,377,226,10578,21127
57,2020-06-20,362,221,10832,20819
58,2020-06-21,353,205,11407,20236
59,2020-06-22,368,211,11573,20254
60,2020-06-23,362,201,10936,20885
61,2020-06-24,356,192,10909,20978
62,2020-06-25,361,194,10866,20976
63,2020-06-26,363,197,10659,21104
64,2020-06-27,345,187,10853,20908
65,2020-06-28,338,190,11330,20406
66,2020-06-29,332,183,11477,20347
67,2020-06-30,334,172,10955,20920
68,2020-07-01,327,168,10658,21312
69,2020-07-02,326,160,10554,21414
70,2020-07-03,319,161,10499,21180
71,2020-07-04,323,159,10974,20802
72,2020-07-05,301,150,11470,20251
73,2020-07-06,312,148,11530,20339
74,2020-07-07,297,144,11064,20888
75,2020-07-08,291,141,10833,21111
76,2020-07-09,278,135,10720,21151
77,2020-07-10,279,134,10609,21231
78,2020-07-11,254,129,10836,20976
79,2020-07-12,255,127,11290,20358
80,2020-07-13,264,130,11508,20208
81,2020-07-14,261,125,10829,20951
82,2020-07-15,247,120,10479,21363
83,2020-07-16,254,121,10467,21407
84,2020-07-17,248,117,10475,21455
85,2020-07-18,246,115,10745,21055
86,2020-07-19,253,119,11179,20547
87,2020-07-20,246,120,11218,20703
88,2020-07-21,253,121,10872,21123
89,2020-07-22,249,126,10729,21410
90,2020-07-23,238,126,10851,21459
91,2020-07-24,236,118,10725,21590
92,2020-07-25,248,125,10930,21315
93,2020-07-26,267,129,11410,20827
94,2020-07-27,258,132,11567,20729
95,2020-07-28,255,125,11034,21374
96,2020-07-29,257,128,10886,21683
97,2020-07-30,262,130,11069,21555
98,2020-07-31,261,123,11031,21569
99,2020-08-01,257,120,11228,21320
100,2020-08-02,269,128,11664,20838
101,2020-08-03,267,129,11752,20841
102,2020-08-04,260,132,9543,21383
103,2020-08-05,240,139,9155,21632
104,2020-08-06,237,129,9120,21614
105,2020-08-07,227,132,9048,21648
106,2020-08-08,229,133,9195,21380
107,2020-08-09,234,134,9596,20953
108,2020-08-10,228,131,9498,20954
109,2020-08-11,231,138,8861,21598
110,2020-08-12,221,136,8770,21785
111,2020-08-13,224,138,8601,21865
112,2020-08-14,230,135,8540,21988
113,2020-08-15,228,135,8757,21675
114,2020-08-16,225,135,9220,21190
115,2020-08-17,227,133,9295,21221
116,2020-08-18,220,134,8864,21741
117,2020-08-19,227,141,8736,21895
118,2020-08-20,230,136,8668,22052
119,2020-08-21,237,145,8659,22054
120,2020-08-22,232,140,8954,21603
121,2020-08-23,245,138,9419,21096
122,2020-08-24,245,131,9654,20935
123,2020-08-25,225,133,9086,21616
124,2020-08-26,227,133,8917,21789
125,2020-08-27,240,140,8998,21674
126,2020-08-28,236,140,8952,21652
127,2020-08-29,241,134,8972,21523
128,2020-08-30,244,131,9431,21009
129,2020-08-31,245,128,9572,21001
130,2020-09-01,234,132,9035,21633
131,2020-09-02,227,125,8936,21782
132,2020-09-03,222,127,8917,21790
133,2020-09-04,224,128,8950,21712
134,2020-09-05,222,126,8956,21563
135,2020-09-06,218,126,9505,20988
136,2020-09-07,228,134,9507,21053
137,2020-09-08,230,130,8879,21730
138,2020-09-09,227,133,8773,21841
139,2020-09-10,233,129,8670,22017
140,2020-09-11,220,119,8577,22079
141,2020-09-12,233,118,8823,21704
142,2020-09-13,236,123,9269,21228
143,2020-09-14,237,124,9500,21076
144,2020-09-15,236,129,8803,21798
145,2020-09-16,233,128,8612,22103
146,2020-09-17,238,135,8467,22273
147,2020-09-18,246,137,8600,22062
148,2020-09-19,257,144,8939,21596
149,2020-09-20,268,144,9340,21158
150,2020-09-21,267,145,9459,21117
151,2020-09-22,278,151,8848,21730
152,2020-09-23,293,159,8693,21858
153,2020-09-24,296,166,8655,21893
154,2020-09-25,301,163,8571,21963
155,2020-09-26,312,172,8731,21722
156,2020-09-27,325,179,9333,21077
157,2020-09-28,353,191,9529,21060
158,2020-09-29,352,195,8892,21808
159,2020-09-30,355,195,8701,21950
160,2020-10-01,362,193,8702,21811
161,2020-10-02,373,199,8675,21779
162,2020-10-03,403,204,8805,21499
163,2020-10-04,424,212,9279,20965
164,2020-10-05,446,209,9435,20890
165,2020-10-06,449,219,8847,21479
166,2020-10-07,470,233,8473,21810
167,2020-10-08,487,239,8473,21768
168,2020-10-09,510,252,8513,21728
169,2020-10-10,531,277,8799,21450
170,2020-10-11,545,275,9311,20875
171,2020-10-12,590,286,9328,20897
172,2020-10-13,618,319,8939,21320
173,2020-10-14,602,323,8703,21488
174,2020-10-15,655,329,8713,21503
175,2020-10-16,690,341,8657,21546
176,2020-10-17,731,345,8810,21244
177,2020-10-18,769,354,9355,20665
178,2020-10-19,851,390,9441,20712
179,2020-10-20,879,411,8870,21303
180,2020-10-21,943,424,8478,21415
181,2020-10-22,1030,459,8184,21473
182,2020-10-23,1121,478,7784,21736
183,2020-10-24,1200,533,7937,21421
184,2020-10-25,1294,578,8386,20908
185,2020-10-26,1360,622,8403,21025
186,2020-10-27,1468,688,7681,21718
187,2020-10-28,1569,764,7546,21790
188,2020-10-29,1696,826,7554,21785
189,2020-10-30,1839,919,7540,21681
190,2020-10-31,1944,1004,7726,21306
191,2020-11-01,2061,1086,7967,20953
192,2020-11-02,2243,1167,7893,20921
193,2020-11-03,2380,1257,7237,21483
194,2020-11-04,2546,1349,7062,21693
195,2020-11-05,2653,1422,6885,21718
196,2020-11-06,2753,1445,7007,21539
197,2020-11-07,2839,1537,7064,21256
198,2020-11-08,2905,1605,7488,20749
199,2020-11-09,3007,1690,7450,20967
200,2020-11-10,3058,1737,6803,21576
201,2020-11-11,3124,1786,6607,21785
202,2020-11-12,3185,1813,6468,21929
203,2020-11-13,3298,1859,6267,21947
204,2020-11-14,3324,1876,6420,21627
205,2020-11-15,3385,1923,6763,21227
206,2020-11-16,3435,1971,6814,21353
207,2020-11-17,3517,2010,6391,21817
208,2020-11-18,3561,2024,6093,22056
209,2020-11-19,3593,2084,6141,21938
210,2020-11-20,3615,2103,5961,22068
211,2020-11-21,3632,2098,6060,21747
212,2020-11-22,3709,2132,6490,21295
213,2020-11-23,3740,2161,6498,21333
214,2020-11-24,3767,2176,5899,21925
215,2020-11-25,3778,2218,5718,22044
216,2020-11-26,3826,2293,5547,22134
217,2020-11-27,3855,2302,5298,22305
218,2020-11-28,3888,2306,5506,21918
219,2020-11-29,3899,2298,5860,21536
220,2020-11-30,3926,2319,5892,21629
221,2020-12-01,3921,2356,5433,22166
222,2020-12-02,3958,2353,5245,22275
223,2020-12-03,3980,2381,5198,22287
224,2020-12-04,4011,2388,4996,22425
225,2020-12-05,4051,2416,5089,22100
226,2020-12-06,4108,2455,5502,21659
227,2020-12-07,4181,2514,5426,21842
228,2020-12-08,4255,2535,4919,22305
229,2020-12-09,4278,2521,4829,22476
230,2020-12-10,4339,2505,4725,22534
231,2020-12-11,4432,2540,4616,22489
232,2020-12-12,4491,2542,4866,22144
233,2020-12-13,4553,2603,5173,21780
234,2020-12-14,4675,2669,5047,22018
235,2020-12-15,4735,2679,4652,22458
236,2020-12-16,4834,2757,4515,22522
